"","x"
"356","E 142 St & 3 Ave"
"357","University Pl & E 14 St"
"358","W 67 St & Broadway"
"359","Broadway & W 133 St"
"360","Lispenard St & Broadway"
"361","31 St & 23 Ave"
"362","Madison Ave & E 82 St"
"363","Adam Clayton Powell Blvd & W 141 St"
"364","Avenue D & E 3 St"
"365","Pershing Square North"
"366","Huron St & Franklin St"
"367","Catherine St & Monroe St"
"368","W 100 St & Broadway"
"369","11 Ave & W 41 St"
"370","W 84 St & Broadway"
"371","Lawrence St & Willoughby St"
"372","Southern Blvd & E 172 St"
"373","Lafayette St & Jersey St"
"374","Lenox Ave & W 144 St"
"375","11 Ave & W 27 St"
"376","Bond St & Fulton St"
"377","Frederick Douglass Blvd & W 129 St"
"378","Cauldwell Ave & E 158 St"
"379","Lexington Ave & E 128 St"
"380","31 Ave & 34 St"
"381","W 37 St & 5 Ave"
"382","12 Ave & W 40 St"
"383","W 49 St & 8 Ave"
"384","E 118 St & Madison Ave"
"385","Cadman Plaza E & Red Cross Pl"
"386","Douglass St & 4 Ave"
"387","Fulton St & Broadway"
"388","3 St & 7 Ave"
"389","1 Ave & E 94 St"
"390","Hamilton Pl & W 140 St"
"391","Avenue D & E 8 St"
"392","E 167 St & Bryant Ave"
"393","E 106 St & Lexington Ave"
"394","Carlton Ave & Park Ave"
"395","Rogers Ave & Sterling St"
"396","St Nicholas Ave & Manhattan Ave"
"397","Grant Ave & E 164 St"
"398","Carmine St & 6 Ave"
"399","Lenox Ave & W 111 St"
"400","Rivington St & Ridge St"
"401","Walton Ave & E 168 St"
"402","Grand Concourse & E 167 St"
"403","21 St & 23 Ave"
"404","Amsterdam Ave & W 162 St"
"405","Broadway & W 53 St"
"406","3 Ave & Schermerhorn St"
"407","Broadway & E 22 St"
"408","W 84 St & Columbus Ave"
"409","Gerard Ave & McClellan St"
"410","8 Ave & W 33 St"
"411","W 43 St & 10 Ave"
"412","Pier 40 - Hudson River Park"
"413","Jerome Ave & E 164 St"
"414","Broadway & W 29 St"
"415","Park Ave & Marcus Garvey Blvd"
"416","Washington Pl & Broadway"
"417","E 103 St & Lexington Ave"
"418","Allen St & Hester St"
"419","W 50 St & 9 Ave"
"420","Cambridge Pl & Gates Ave"
"421","Columbia St & Degraw St"
"422","W 27 St & 7 Ave"
"423","9 Ave & W 22 St"
"424","Flushing Ave & Vanderbilt Ave"
"425","Mt Morris Park W & W 120 St"
"426","Clark St & Henry St"
"427","E 13 St & Avenue A"
"428","Wyckoff St & Nevins St"
"429","E 54 St & 1 Ave"
"430","Morgan Ave & Lombardy St"
"431","Schermerhorn St & Bond St"
"432","E 58 St &  1 Ave (NW Corner)"
"433","3 St & Prospect Park West"
"434","W 59 St & 10 Ave"
"435","Douglass St & 3 Ave"
"436","E 72 St & Park Ave"
"437","E 102 St & Park Ave"
"438","Edgecombe Ave & W 145 St"
"439","E 84 St & Park Ave"
"440","W 74 St & Columbus Ave"
"441","W 135 St & Lenox Terrace Pl"
"442","Rockaway Ave & Bainbridge St"
"443","Grand St & Havemeyer St"
"444","3 Ave & E 62 St"
"445","Grand Ave & Bergen St"
"446","E 25 St & 1 Ave"
"447","Carroll St & Franklin Ave"
"448","Lexington Ave & E 36 St"
"449","E 32 St & Park Ave"
"450","31 St & Broadway"
"451","West St & Liberty St"
"452","E 16 St & Irving Pl"
"453","E 132 St & Madison Ave"
"454","E 116 St & 2 Ave"
"455","E 44 St & 2 Ave"
"456","E 15 St & 3 Ave"
"457","W 42 St & 6 Ave"
"458","Broadway & 12 St"
"459","E 84 St & 1 Ave"
"460","William St & Pine St"
"461","Avenue C & E 18 St"
"462","35 St & Broadway"
"463","E 88 St & 1 Ave"
"464","Carroll St & 6 Ave"
"465","Central Park West & W 76 St"
"466","W 20 St & 7 Ave"
"467","W 76 St & Columbus Ave"
"468","Willoughby St & Fleet St"
"469","Newtown Ave & 23 St"
"470","Onderdonk Ave & Dekalb Ave"
"471","Madison Ave & E 26 St"
"472","S Portland Ave & Hanson Pl"
"473","Dean St & Hoyt St"
"474","6 Ave & W 34 St"
"475","Carroll St & Bond St"
"476","Broadway & W 60 St"
"477","W 15 St & 7 Ave"
"478","5 Ave & E 29 St"
"479","31 Ave & Crescent St"
"480","Sharon St & Olive St"
"481","W 180 St & Ft Washington Ave"
"482","E 89 St & York Ave"
"483","Sullivan Pl & Bedford Ave"
"484","W 17 St & 8 Ave"
"485","E 31 St & 3 Ave"
"486","Degraw St & Hoyt St"
"487","W 78 St & Amsterdam Ave"
"488","E 97 St & 3 Ave"
"489","E 4 St & 2 Ave"
"490","Vernon Blvd & 10 St"
"491","E 77 St & 3 Ave"
"492","Christopher St & Greenwich St"
"493","Stagg St & Morgan Ave"
"494","Market St & Cherry St"
"495","Columbus Ave & W 72 St"
"496","Newton Rd & 44 St"
"497","28 Ave & 44 St"
"498","Perry St & Greenwich Ave"
"499","W 87 St & West End Ave"
"500","E 128 St & 3 Ave"
"501","Steinway St & 23 Ave"
"502","Columbia St & Kane St"
"503","Bus Slip & State St"
"504","Devoe St & Lorimer St"
"505","E 59 St & Madison Ave"
"506","6 Ave & W 33 St"
"507","46 Ave & 5 St"
"508","Broadway & Battery Pl"
"509","Wadsworth Ave & W 179 St"
"510","Amsterdam Ave & W 66 St"
"511","Pacific St & Nevins St"
"512","W 90 St & Amsterdam Ave"
"513","Morgan Ave & Maspeth Ave"
"514","E 75 St & 3 Ave"
"515","27 Ave & 9 St"
"516","E 114 St & 1 Ave"
"517","Central Ave & Flushing Ave"
"518","Ogden Ave & W 164 St"
"519","E 20 St & 2 Ave"
"520","Cooper Square & Astor Pl"
"521","Broadway & W 37 St"
"522","6 Ave & 12 St"
"523","Forest Ave & Summerfield St"
"524","Fulton St & William St"
"525","Pulaski St & Marcus Garvey Blvd"
"526","E 68 St & Madison Ave"
"527","Grand St & Greene St"
"528","24 Ave & 26 St"
"529","Greene Ave & Nostrand Ave"
"530","E 106 St & Madison Ave"
"531","Intervale Ave & Kelly St"
"532","40 Ave & Crescent St"
"533","Madison Ave & E 120 St"
"534","Bushwick Ave & Linden St"
"535","27 St & Hunter St"
"536","3 Ave & E 71 St"
"537","Park Ave & E 124 St"
"538","E 88 St & Park Ave"
"539","2 Ave & E 96 St"
"540","Broadway & W 36 St"
"541","Myrtle Ave & Linden St"
"542","E 16 St & 5 Ave"
"543","Vernon Blvd & 50 Ave"
"544","Southern Blvd & E 149 St"
"545","Willoughby Ave & Hall St"
"546","Centre St & Chambers St"
"547","W 106 St & Amsterdam Ave"
"548","W 92 St & Broadway"
"549","W 20 St & 10 Ave"
"550","Center Blvd & 48 Ave"
"551","St Johns Pl & Washington Ave"
"552","34 Ave & 13 St"
"553","5 St & 6 Ave"
"554","Broadway & Berry St"
"555","W 22 St & 10 Ave"
"556","Vernon Blvd & 31 Ave"
"557","W 120 St & Claremont Ave"
"558","Menahan St & Seneca Ave"
"559","Centre St & Worth St"
"560","E 118 St & 1 Ave"
"561","34 St & 35 Ave"
"562","7 Ave & Park Pl"
"563","Bedford Ave & Bergen St"
"564","Lafayette Ave & Classon Ave"
"565","Riverside Dr & W 82 St"
"566","LaGuardia Pl & W 3 St"
"567","Classon Ave & St Marks Ave"
"568","31 St & Newtown Ave"
"569","Lafayette Ave & Fort Greene Pl"
"570","Riverside Dr & W 72 St"
"571","E 43 St & 5 Ave"
"572","E 81 St & 2 Ave"
"573","Vernon Blvd & 30 Rd"
"574","Norfolk St & Broome St"
"575","Fort Washington Ave & W 183 St"
"576","Kent Ave & N 7 St"
"577","Barrow St & Hudson St"
"578","5 Av & W 139 St"
"579","Amsterdam Ave & W 119 St"
"580","W 52 St & 6 Ave"
"581","W 44 St & 11 Ave"
"582","St James Pl & Pearl St"
"583","Kingsland Ave & Nassau Ave"
"584","Leonard St & Nassau Ave"
"585","Van Brunt St & Wolcott St"
"586","W 36 St & 9 Ave"
"587","W 30 St & 10 Ave"
"588","Henry St & Degraw St"
"589","McKibbin St & Manhattan Ave"
"590","Kosciuszko St & Tompkins Ave"
"591","Hicks St & Montague St"
"592","W 34 St & 11 Ave"
"593","E 12 St & 3 Ave"
"594","Concord St & Bridge St"
"595","W 21 St & 6 Ave"
"596","Pioneer St & Richards St"
"597","Adam Clayton Powell Blvd & W 132 St"
"598","Madison Av & E 51 St"
"599","Steinway St & 28 Ave"
"600","Adam Clayton Powell Blvd & W 115 St"
"601","Adam Clayton Powell Blvd & W 130 St"
"602","Great Jones St"
"603","E 58 St & Madison Ave"
"604","W 51 St & Rockefeller Plaza"
"605","Barclay St & Church St"
"606","FDR Drive & E 35 St"
"607","5 Ave & 3 St"
"608","Court St & State St"
"609","5 Ave & E 126 St"
"610","Harrison St & Hudson St"
"611","E 169 St & Webster Ave"
"612","Bond St & Bergen St"
"613","Bushwick Ave & Forrest St"
"614","Lexington Ave & E 120 St"
"615","E 7 St & Avenue A"
"616","W 110 St & Amsterdam Ave"
"617","E 2 St & 2 Ave"
"618","E 123 St & Lexington Ave"
"619","Pioneer St & Van Brunt St"
"620","Hancock St & Bedford Ave"
"621","34 Ave & 21 St"
"622","Brook Ave & E 148 St"
"623","23 Ave & 27 St"
"624","India St & West St"
"625","28 St & 41 Ave"
"626","Bedford Ave & S 9 St"
"627","11 Ave & W 59 St"
"628","31 Ave & Steinway St"
"629","10 St & 5 Ave"
"630","Milton St & Franklin St"
"631","Leonard St & Church St"
"632","Adelphi St & Myrtle Ave"
"633","E 98 St & Park Ave"
"634","Southern Blvd & Tiffany St"
"635","Franklin St & Dupont St"
"636","DeKalb Ave & Vanderbilt Ave"
"637","W 11 St & 6 Ave"
"638","Central Park West & W 72 St"
"639","Broadway & Madison St"
"640","Riverside Dr & W 104 St"
"641","Eastern Pkwy & Franklin Ave"
"642","Carroll St & Columbia St"
"643","Bergen St & Smith St"
"644","Driggs Ave & Lorimer St"
"645","2 Ave & E 122 St"
"646","Laight St & Hudson St"
"647","E 115 St & Madison Ave"
"648","Madison St & Montgomery St"
"649","E 41 St & Madison Ave"
"650","Frost St & Debevoise Ave"
"651","Baltic St & 5 Ave"
"652","W 35 St & Dyer Ave"
"653","4 Ave & E 12 St"
"654","Central Park W & W 97 St"
"655","Menahan St & Onderdonk Ave"
"656","Withers St & Kingsland Ave"
"657","Carlton Ave & Flushing Ave"
"658","Emerson Pl & Myrtle Ave"
"659","Crescent St & 30 Ave"
"660","35 Ave & 37 St"
"661","W 26 St & 10 Ave"
"662","Motorgate"
"663","E 51 St & 2 Ave"
"664","Nassau Ave & Russell St"
"665","Crescent St & 34 Ave"
"666","Prospect Park West & 8 St"
"667","Carroll St & 5 Ave"
"668","Clinton Ave & Myrtle Ave"
"669","Knickerbocker Ave & Thames St"
"670","Westchester Ave & Southern Blvd"
"671","Pershing Square South"
"672","Pearl St & Hanover Square"
"673","E 51 St & 1 Ave"
"674","E 53 St & Madison Ave"
"675","Halsey St & Tompkins Ave"
"676","5 Ave & E 135 St"
"677","Richardson St & N Henry St"
"678","W 113 St & Broadway"
"679","Underhill Ave & Lincoln Pl"
"680","E 53 St & Lexington Ave"
"681","Old Fulton St"
"682","Kane St & Clinton St"
"683","Graham Ave & Conselyea St"
"684","West Thames St"
"685","White St & Moore St"
"686","Reade St & Broadway"
"687","Pierrepont St & Monroe Pl"
"688","Edgecombe Ave & W 167 St"
"689","Clinton St & Tillary St"
"690","Roosevelt Island Tramway"
"691","Washington Ave & Greene Ave"
"692","Riverside Dr & W 145 St"
"693","W Broadway & Spring St"
"694","Forsyth St & Canal St"
"695","W 63 St & Broadway"
"696","Putnam Ave & Nostrand Ave"
"697","Rivington St & Chrystie St"
"698","Central Park North & Adam Clayton Powell Blvd"
"699","Sterling St & Bedford Ave"
"700","Schermerhorn St & Court St"
"701","Union St & Nevins St"
"702","State St & Smith St"
"703","Wythe Ave & Metropolitan Ave"
"704","Lewis Ave & Kosciuszko St"
"705","Lorimer St & Calyer St"
"706","Scholes St & Manhattan Ave"
"707","Sunken Meadow Comfort Station"
"708","Duffield St & Willoughby St"
"709","Bergen St & Flatbush Ave"
"710","Front St & Gold St"
"711","Irving Ave & Jefferson St"
"712","5 Ave & E 63 St"
"713","Stagg St & Union Ave"
"714","Crescent St & Broadway"
"715","Henry St & Bay St"
"716","Riverside Dr & W 78 St"
"717","Cumberland St & Lafayette Ave"
"718","Greenwich St & Hubert St"
"719","Thompson St & Bleecker St"
"720","Moffat St & Bushwick"
"721","Driggs Ave & N Henry St"
"722","Hudson St & Reade St"
"723","Bank St & Washington St"
"724","48 Ave & 5 St"
"725","E 68 St & 3 Ave"
"726","W 10 St & Washington St"
"727","Union St & Bedford Ave"
"728","Jay St & York St"
"729","Astoria Park S & Shore Blvd"
"730","Lexington Ave & E 111 St"
"731","Evergreen Ave & Noll St"
"732","Van Sinderen Ave & Truxton St"
"733","Morningside Ave & W 123 St"
"734","31 Ave & 30 St"
"735","Lexington Ave & E 29 St"
"736","India St & Manhattan Ave"
"737","E 60 St & York Ave"
"738","3 Ave & E 72 St"
"739","W 18 St & 6 Ave"
"740","Knickerbocker Ave & George St"
"741","Metropolitan Ave & Bedford Ave"
"742","Warren St & Court St"
"743","Van Buren St & Broadway"
"744","W 13 St & 5 Ave"
"745","Adam Clayton Powell Blvd & W 123 St"
"746","49 Ave & 21 St"
"747","30 Ave & 21 St"
"748","E 109 St & 3 Ave"
"749","Longwood Ave & Southern Blvd"
"750","3 Ave & E 100 St"
"751","Liberty St & Nassau St"
"752","37 St & 24 Ave"
"753","Broadway & Kosciuszko St"
"754","Berry St & N 8 St"
"755","Butler St & Court St"
"756","W 170 St & University Ave"
"757","Lafayette Ave & St James Pl"
"758","Park Pl & Vanderbilt Ave"
"759","5 Ave & W 131 St"
"760","Front St & Washington St"
"761","E 66 St & Madison Ave"
"762","Monroe St & Classon Ave"
"763","Coffey St & Conover St"
"764","Front St & Jay St"
"765","Smith St & 3 St"
"766","Wilson Ave & Troutman St"
"767","Broadway & Roebling St"
"768","Wilson Ave & Moffat St"
"769","48 Ave & 30 Pl"
"770","Cliff St & Fulton St"
"771","W 46 St & 11 Ave"
"772","Marcy Ave & Lafayette Ave"
"773","North Moore St & Greenwich St"
"774","Roebling St & N 4 St"
"775","Webster Ave & E 166 St"
"776","Broadway & Hancock St"
"777","Greene Av & Myrtle Av"
"778","Adam Clayton Powell Blvd & W 118 St"
"779","Franklin Ave & St Marks Ave"
"780","18 St & 27 Ave"
"781","Riverside Dr & W 91 St"
"782","Kent Ave & S 11 St"
"783","Central Ave & Woodbine St"
"784","Sands St Gate"
"785","Park Ave & E 162 St"
"786","Washington Ave & Park Ave"
"787","McGuinness Blvd & Eagle St"
"788","6 Ave & 9 St"
"789","5 Ave & E 93 St"
"790","Prospect Pl & Underhill Ave"
